,Value,Mean_Value(10)
645,-45.534767,-45.53466541290283
646,-45.534767,-45.53466865539551
647,-45.53477,-45.53467189788818
648,-45.534775,-45.534675102233884
649,-45.534775,-45.53467823028564
650,-45.53478,-45.53468132019043
651,-45.53478,-45.53468425750732
652,-45.53478,-45.53468711853027
653,-45.53478,-45.53468997955322
654,-45.53478,-45.53469268798828
655,-45.534782,-45.534695358276366
656,-45.534782,-45.53469799041748
657,-45.534782,-45.534700584411624
658,-45.534782,-45.53470317840576
659,-45.534782,-45.53470573425293
660,-45.534782,-45.534708175659176
661,-45.53479,-45.534710540771485
662,-45.53479,-45.53471279144287
663,-45.53479,-45.53471492767334
664,-45.53479,-45.534717025756834
665,-45.534794,-45.53471908569336
666,-45.534794,-45.53472114562988
667,-45.534794,-45.53472320556641
668,-45.534794,-45.53472526550293
669,-45.534794,-45.53472721099853
670,-45.534794,-45.534729080200194
671,-45.534794,-45.53473091125488
672,-45.534794,-45.5347327041626
673,-45.534794,-45.53473449707031
674,-45.534794,-45.53473628997803
675,-45.534794,-45.534738006591795
676,-45.534794,-45.53473964691162
677,-45.534798,-45.53474132537842
678,-45.534798,-45.53474292755127
679,-45.534798,-45.53474452972412
680,-45.534798,-45.53474605560303
681,-45.534798,-45.53474758148193
682,-45.534798,-45.53474899291992
683,-45.534798,-45.534750366210936
684,-45.534798,-45.53475173950196
685,-45.534798,-45.534753036499026
686,-45.534798,-45.534754333496096
687,-45.534798,-45.534755592346194
688,-45.534798,-45.53475681304931
689,-45.534798,-45.53475803375244
690,-45.534798,-45.534759254455565
691,-45.534798,-45.534760322570804
692,-45.534798,-45.534761390686036
693,-45.534798,-45.53476245880127
694,-45.534798,-45.53476352691651
695,-45.534798,-45.53476459503174
696,-45.534798,-45.534765548706055
697,-45.534798,-45.5347664642334
698,-45.534798,-45.534767379760744
699,-45.534798,-45.53476825714111
700,-45.534798,-45.53476913452148
701,-45.534798,-45.534770011901855
702,-45.534798,-45.53477088928223
703,-45.534798,-45.5347717666626
704,-45.534798,-45.53477264404297
705,-45.534798,-45.53477352142334
706,-45.534798,-45.53477432250977
707,-45.534798,-45.53477508544922
708,-45.534798,-45.53477584838867
709,-45.534798,-45.53477661132813
710,-45.534798,-45.53477737426758
711,-45.5348,-45.534778175354006
712,-45.5348,-45.53477897644043
713,-45.5348,-45.53477970123291
714,-45.5348,-45.53478042602539
715,-45.5348,-45.53478115081787
716,-45.5348,-45.534781799316406
717,-45.5348,-45.53478244781494
718,-45.5348,-45.534783096313475
719,-45.5348,-45.53478370666504
720,-45.5348,-45.5347843170166
721,-45.5348,-45.534784927368165
722,-45.5348,-45.53478553771973
723,-45.5348,-45.53478607177735
724,-45.5348,-45.53478660583496
725,-45.5348,-45.53478713989258
726,-45.5348,-45.5347876739502
727,-45.5348,-45.53478820800781
728,-45.5348,-45.53478870391846
729,-45.5348,-45.5347891998291
730,-45.5348,-45.53478969573975
731,-45.5348,-45.53479019165039
732,-45.5348,-45.53479061126709
733,-45.5348,-45.53479103088379
734,-45.5348,-45.534791450500485
735,-45.5348,-45.53479187011719
736,-45.5348,-45.534792251586914
737,-45.5348,-45.53479259490967
738,-45.53481,-45.534793014526365
739,-45.53481,-45.53479343414307
740,-45.53481,-45.534793853759766
741,-45.53481,-45.53479427337646
742,-45.53481,-45.53479469299317
743,-45.53481,-45.534795112609864
744,-45.53481,-45.53479553222656
745,-45.53481,-45.534795951843265
746,-45.53481,-45.53479637145996
747,-45.53481,-45.53479675292969
748,-45.53481,-45.53479709625244
749,-45.53481,-45.53479743957519
750,-45.53481,-45.534797744750975
751,-45.53481,-45.534798049926756
752,-45.53481,-45.53479835510254
753,-45.53481,-45.53479866027832
754,-45.53481,-45.5347989654541
755,-45.53481,-45.53479923248291
756,-45.53481,-45.53479949951172
757,-45.53481,-45.53479976654053
758,-45.53481,-45.53480003356933
759,-45.53481,-45.53480030059814
760,-45.53481,-45.53480056762695
761,-45.53481,-45.53480075836182
762,-45.53481,-45.53480094909668
763,-45.53481,-45.53480113983154
764,-45.53481,-45.53480133056641
765,-45.53481,-45.5348014831543
766,-45.53481,-45.534801635742184
767,-45.53481,-45.53480178833008
768,-45.53481,-45.534801940917966
769,-45.53481,-45.53480209350586
770,-45.53481,-45.53480224609375
771,-45.53481,-45.53480239868164
772,-45.53481,-45.53480255126953
773,-45.53481,-45.53480270385742
774,-45.53481,-45.53480285644531
775,-45.53481,-45.534803009033205
776,-45.53481,-45.53480316162109
777,-45.53481,-45.534803276062014
778,-45.53481,-45.53480339050293
779,-45.53481,-45.534803504943845
780,-45.53481,-45.53480361938477
781,-45.53481,-45.53480373382568
782,-45.53481,-45.5348038482666
783,-45.53481,-45.53480396270752
784,-45.53481,-45.534804077148436
785,-45.53481,-45.53480419158936
786,-45.53481,-45.534804306030274
787,-45.53481,-45.53480442047119
788,-45.53481,-45.53480453491211
789,-45.53481,-45.53480464935303
790,-45.53481,-45.53480476379394
791,-45.53481,-45.534804878234866
792,-45.53481,-45.53480499267578
793,-45.53481,-45.534805107116696
794,-45.53481,-45.53480522155762
795,-45.53481,-45.534805335998534
796,-45.53481,-45.53480545043945
797,-45.53481,-45.53480556488037
798,-45.53481,-45.53480567932129
799,-45.53481,-45.53480579376221
800,-45.53481,-45.534805908203126
801,-45.53481,-45.53480602264404
802,-45.53481,-45.53480613708496
803,-45.53481,-45.53480625152588
804,-45.53481,-45.534806365966794
805,-45.53481,-45.53480648040772
806,-45.53481,-45.53480659484863
807,-45.53481,-45.53480670928955
808,-45.53481,-45.53480682373047
809,-45.53481,-45.534806938171386
810,-45.53481,-45.53480705261231
811,-45.53481,-45.53480712890625
812,-45.53481,-45.534807205200195
813,-45.53481,-45.53480728149414
814,-45.53481,-45.53480735778808
815,-45.53481,-45.53480743408203
816,-45.53481,-45.53480751037598
817,-45.53481,-45.53480758666992
818,-45.53481,-45.534807662963864
819,-45.53481,-45.534807739257815
820,-45.53481,-45.53480781555176
821,-45.53481,-45.5348078918457
822,-45.53481,-45.534807968139646
823,-45.53481,-45.534808044433596
824,-45.53481,-45.53480812072754
825,-45.53481,-45.53480819702148
826,-45.53481,-45.53480827331543
827,-45.53481,-45.53480834960938
828,-45.53481,-45.53480842590332
829,-45.53481,-45.534808502197265
830,-45.53481,-45.53480857849121
831,-45.53481,-45.53480865478516
832,-45.53481,-45.5348087310791
833,-45.53481,-45.53480880737305
834,-45.53481,-45.53480888366699
835,-45.53481,-45.53480895996094
836,-45.53481,-45.534809036254885
837,-45.53481,-45.53480911254883
838,-45.53481,-45.53480911254883
839,-45.53481,-45.53480911254883
840,-45.53481,-45.53480911254883
841,-45.53481,-45.53480911254883
842,-45.53481,-45.53480911254883
843,-45.53481,-45.53480911254883
844,-45.53481,-45.53480911254883
845,-45.53481,-45.53480911254883
846,-45.53481,-45.53480911254883
847,-45.53481,-45.53480911254883
848,-45.53481,-45.53480911254883
849,-45.53481,-45.53480911254883
850,-45.53481,-45.53480911254883
851,-45.53481,-45.53480911254883
852,-45.53481,-45.53480911254883
853,-45.53481,-45.53480911254883
854,-45.53481,-45.53480911254883
855,-45.53481,-45.53480911254883
856,-45.53481,-45.53480911254883
857,-45.53481,-45.53480911254883
858,-45.53481,-45.53480911254883
859,-45.53481,-45.53480911254883
860,-45.53481,-45.53480911254883
861,-45.53481,-45.53480911254883
862,-45.53481,-45.53480911254883
863,-45.53481,-45.53480911254883
864,-45.53481,-45.53480911254883
